document_id,filename,block_collection,page_index,page_number,block_index,block_type,score,caption,html,html_length,image_paths,bbox
ggt_1247,GGT_1247.pdf,preproc_blocks,4,5,7,table,0.977,,"<table><tr><td>Tecnologia</td><td>Baixo</td><td>Central</td><td>Alto</td></tr><tr><td>SMR c/ CCS</td><td>1,93</td><td>2,09</td><td>2,26</td></tr><tr><td>Elétrolise - éolica</td><td>4,61</td><td>7,86</td><td>10,01</td></tr><tr><td>Electrólise - solar</td><td>7,1</td><td>12</td><td>14,87</td></tr></table>",304,a1d143aa158ca11379d710834208579a4677d14621fee08ea7207f84c23ddf99.jpg,"[194, 237, 403, 288]"
ggt_1247,GGT_1247.pdf,preproc_blocks,4,5,14,table,0.9826,,"<table><tr><td>Tecnologia</td><td>Baixo</td><td>Central</td><td>Alto</td></tr><tr><td>SMR c/ CCS</td><td>2,97</td><td>5,61</td><td>9,16</td></tr><tr><td>Elétrolise - éolica</td><td>0,52</td><td>0,88</td><td>1,14</td></tr><tr><td>Electrólise - solar</td><td>1,32</td><td>2,21</td><td>2,5</td></tr></table>",304,14b415ba5e95100f2075c1a1b3bddf1504b27889e1db4e6c4720e7ef4f7407de.jpg,"[191, 538, 406, 601]"
ggt_1247,GGT_1247.pdf,preproc_blocks,5,6,5,table,0.9838,,<table><tr><td rowspan=2 colspan=9>HCNG                                 H2 [% vol]         0%      20%      40%      60%       80%      100%CO2 evitado</td></tr><tr><td rowspan=1 colspan=1>[tcO2eq/ano]</td><td rowspan=1 colspan=3>0%7%17%</td><td rowspan=1 colspan=3>31%55%100%</td></tr><tr><td rowspan=1 colspan=2>CONSUMO FINAL ENERGÉTICO</td><td rowspan=1 colspan=1>19.460</td><td rowspan=1 colspan=1></td><td rowspan=1 colspan=1>2.476.937</td><td rowspan=1 colspan=1>5.913.926</td><td rowspan=1 colspan=1>11.003.315</td><td rowspan=1 colspan=1>19.313.836</td><td rowspan=1 colspan=1>35.319.280</td></tr><tr><td rowspan=3 colspan=2>SETOR ENERGÉTICORESIDENCIALCOMERCIAL</td><td rowspan=1 colspan=1>7.112</td><td rowspan=1 colspan=1>-</td><td rowspan=1 colspan=1>905.234</td><td rowspan=1 colspan=1>2.161.334</td><td rowspan=1 colspan=1>4.021.328</td><td rowspan=1 colspan=1>7.058.534</td><td rowspan=1 colspan=1>12.907.966</td></tr><tr><td rowspan=1 colspan=1>464</td><td rowspan=1 colspan=1></td><td rowspan=1 colspan=1>59.008</td><td rowspan=1 colspan=1>140.888</td><td rowspan=1 colspan=1>262.133</td><td rowspan=1 colspan=1>460.116</td><td rowspan=1 colspan=1>841.416</td></tr><tr><td rowspan=1 colspan=1>136</td><td rowspan=1 colspan=1></td><td rowspan=1 colspan=1>17.268</td><td rowspan=1 colspan=1>41.230</td><td rowspan=1 colspan=1>76.712</td><td rowspan=1 colspan=1>134.650</td><td rowspan=1 colspan=1>246.235</td></tr><tr><td rowspan=2 colspan=2>PÚBLICOTRANSPORTES - TOTAL</td><td rowspan=1 colspan=1>31</td><td rowspan=1 colspan=1></td><td rowspan=1 colspan=1>3.999</td><td rowspan=1 colspan=1>9.548</td><td rowspan=1 colspan=1>17.764</td><td rowspan=1 colspan=1>31.181</td><td rowspan=1 colspan=1>57.021</td></tr><tr><td rowspan=1 colspan=1></td><td rowspan=1 colspan=1>2.285</td><td rowspan=1 colspan=1></td><td rowspan=1 colspan=1>290.796</td><td rowspan=1 colspan=1>694.303</td><td rowspan=1 colspan=1>1.291.804</td><td rowspan=1 colspan=1>2.267.470</td><td rowspan=1 colspan=1>4.146.530</td></tr><tr><td rowspan=2 colspan=2>INDUSTRIAL - TOTALTOTAL IND + COM+ RES+GNV:</td><td rowspan=1 colspan=1>9.433</td><td rowspan=1 colspan=1></td><td rowspan=1 colspan=1>1.200.631</td><td rowspan=1 colspan=1>2.866.624</td><td rowspan=1 colspan=1>5.333.574</td><td rowspan=1 colspan=1>9.361.885</td><td rowspan=1 colspan=1>17.120.112</td></tr><tr><td rowspan=1 colspan=1>12.316</td><td rowspan=1 colspan=1></td><td rowspan=1 colspan=1>1.567.704</td><td rowspan=1 colspan=1>3.743.045</td><td rowspan=1 colspan=1>6.964.223</td><td rowspan=1 colspan=1>12.224.121</td><td rowspan=1 colspan=1>22.354.293</td></tr></table>,2620,8029038dff3e9b0b35e5030977363bc1b7752b587c55072c1c08a46021543a4c.jpg,"[66, 208, 531, 337]"
ggt_1247,GGT_1247.pdf,para_blocks,1,2,9,table,0.9892,,"<table><tr><td>Nome do Projeto</td><td>Responsável</td><td>País</td><td>Ano</td><td>Foco</td></tr><tr><td>HIGGS</td><td>EU/FCH JU</td><td>Europa</td><td>2020-2022</td><td>Impactos do hidrogênio na rede de gás natural existente</td></tr><tr><td>THyGA</td><td>EU/FCH JU</td><td>Europa</td><td>2020-hoje</td><td>Características da combustão para uso doméstico e comercial</td></tr><tr><td>Hy4Heat</td><td>BEIS</td><td>Inglaterra</td><td>2017- hoje</td><td>Análise de viabilidade</td></tr><tr><td>HyDeploy</td><td>Keele</td><td>Inglaterra</td><td>2017-2020</td><td>Demonstração ao vivo de hidrogênio em casas</td></tr><tr><td>HyGRID</td><td>EU/FCH JU</td><td>Holanda</td><td>2016- hoje</td><td>Separação do hidrogênio do gás natural por membrānas</td></tr><tr><td>HYREADY</td><td>DNV GL</td><td>Noruega</td><td>2016- hoje</td><td>Guias para preparação da transição para H2</td></tr><tr><td>GRHYD</td><td>ENGIE</td><td>França</td><td>2014- hoje</td><td>Injeção de hidrogênio na rede de gás natural local</td></tr><tr><td>MATHRYCE</td><td>EU/FCH JU</td><td>França</td><td>2012-2015</td><td>Teste de material e recomendações para componentes de hidrogênio sob fadiga</td></tr><tr><td>DomHydro</td><td>GERG</td><td>Europa</td><td>2013-2014</td><td>Análise de viabilidade técnica</td></tr><tr><td>H2-Tolerance</td><td>DVGW</td><td>Alemanha</td><td>2012-2014</td><td>Tolerânica e mensuração de energia</td></tr><tr><td>HIPS</td><td>DBI</td><td>Alemanha</td><td>2011-2013</td><td>Análise do estado da arte</td></tr><tr><td>GasQUAL</td><td>DGC</td><td>Dinamarca</td><td>2009-2013</td><td>Avalias os impactos da qualidade do gás</td></tr><tr><td>Energy Storage Concepts</td><td>DVGW</td><td>Alemanha</td><td>2010-2012</td><td>Análise do estado da arte, desenvolvimento e conceitos técnicos</td></tr><tr><td>Ameland</td><td>GasTerra/Kiwa</td><td>Holanda</td><td>2007-2011</td><td>Demonstração e uso final</td></tr><tr><td>Naturalhy</td><td>Gaz de France</td><td>França</td><td>2004-2009</td><td>Dutos, uso final e segurança</td></tr></table>",2027,637131c1fea824342bf4899fbe495a4032e2d5e334a35a2056b420de7c6df51e.jpg,"[76, 487, 521, 746]"
ggt_1247,GGT_1247.pdf,para_blocks,2,3,2,table,0.9592,,,0,,"[76, 88, 521, 117]"
ggt_1247,GGT_1247.pdf,para_blocks,4,5,7,table,0.977,,"<table><tr><td>Tecnologia</td><td>Baixo</td><td>Central</td><td>Alto</td></tr><tr><td>SMR c/ CCS</td><td>1,93</td><td>2,09</td><td>2,26</td></tr><tr><td>Elétrolise - éolica</td><td>4,61</td><td>7,86</td><td>10,01</td></tr><tr><td>Electrólise - solar</td><td>7,1</td><td>12</td><td>14,87</td></tr></table>",304,a1d143aa158ca11379d710834208579a4677d14621fee08ea7207f84c23ddf99.jpg,"[194, 237, 403, 288]"
ggt_1247,GGT_1247.pdf,para_blocks,4,5,14,table,0.9826,,"<table><tr><td>Tecnologia</td><td>Baixo</td><td>Central</td><td>Alto</td></tr><tr><td>SMR c/ CCS</td><td>2,97</td><td>5,61</td><td>9,16</td></tr><tr><td>Elétrolise - éolica</td><td>0,52</td><td>0,88</td><td>1,14</td></tr><tr><td>Electrólise - solar</td><td>1,32</td><td>2,21</td><td>2,5</td></tr></table>",304,14b415ba5e95100f2075c1a1b3bddf1504b27889e1db4e6c4720e7ef4f7407de.jpg,"[191, 538, 406, 601]"
ggt_1247,GGT_1247.pdf,para_blocks,5,6,5,table,0.9838,,<table><tr><td rowspan=2 colspan=9>HCNG                                 H2 [% vol]         0%      20%      40%      60%       80%      100%CO2 evitado</td></tr><tr><td rowspan=1 colspan=1>[tcO2eq/ano]</td><td rowspan=1 colspan=3>0%7%17%</td><td rowspan=1 colspan=3>31%55%100%</td></tr><tr><td rowspan=1 colspan=2>CONSUMO FINAL ENERGÉTICO</td><td rowspan=1 colspan=1>19.460</td><td rowspan=1 colspan=1></td><td rowspan=1 colspan=1>2.476.937</td><td rowspan=1 colspan=1>5.913.926</td><td rowspan=1 colspan=1>11.003.315</td><td rowspan=1 colspan=1>19.313.836</td><td rowspan=1 colspan=1>35.319.280</td></tr><tr><td rowspan=3 colspan=2>SETOR ENERGÉTICORESIDENCIALCOMERCIAL</td><td rowspan=1 colspan=1>7.112</td><td rowspan=1 colspan=1>-</td><td rowspan=1 colspan=1>905.234</td><td rowspan=1 colspan=1>2.161.334</td><td rowspan=1 colspan=1>4.021.328</td><td rowspan=1 colspan=1>7.058.534</td><td rowspan=1 colspan=1>12.907.966</td></tr><tr><td rowspan=1 colspan=1>464</td><td rowspan=1 colspan=1></td><td rowspan=1 colspan=1>59.008</td><td rowspan=1 colspan=1>140.888</td><td rowspan=1 colspan=1>262.133</td><td rowspan=1 colspan=1>460.116</td><td rowspan=1 colspan=1>841.416</td></tr><tr><td rowspan=1 colspan=1>136</td><td rowspan=1 colspan=1></td><td rowspan=1 colspan=1>17.268</td><td rowspan=1 colspan=1>41.230</td><td rowspan=1 colspan=1>76.712</td><td rowspan=1 colspan=1>134.650</td><td rowspan=1 colspan=1>246.235</td></tr><tr><td rowspan=2 colspan=2>PÚBLICOTRANSPORTES - TOTAL</td><td rowspan=1 colspan=1>31</td><td rowspan=1 colspan=1></td><td rowspan=1 colspan=1>3.999</td><td rowspan=1 colspan=1>9.548</td><td rowspan=1 colspan=1>17.764</td><td rowspan=1 colspan=1>31.181</td><td rowspan=1 colspan=1>57.021</td></tr><tr><td rowspan=1 colspan=1></td><td rowspan=1 colspan=1>2.285</td><td rowspan=1 colspan=1></td><td rowspan=1 colspan=1>290.796</td><td rowspan=1 colspan=1>694.303</td><td rowspan=1 colspan=1>1.291.804</td><td rowspan=1 colspan=1>2.267.470</td><td rowspan=1 colspan=1>4.146.530</td></tr><tr><td rowspan=2 colspan=2>INDUSTRIAL - TOTALTOTAL IND + COM+ RES+GNV:</td><td rowspan=1 colspan=1>9.433</td><td rowspan=1 colspan=1></td><td rowspan=1 colspan=1>1.200.631</td><td rowspan=1 colspan=1>2.866.624</td><td rowspan=1 colspan=1>5.333.574</td><td rowspan=1 colspan=1>9.361.885</td><td rowspan=1 colspan=1>17.120.112</td></tr><tr><td rowspan=1 colspan=1>12.316</td><td rowspan=1 colspan=1></td><td rowspan=1 colspan=1>1.567.704</td><td rowspan=1 colspan=1>3.743.045</td><td rowspan=1 colspan=1>6.964.223</td><td rowspan=1 colspan=1>12.224.121</td><td rowspan=1 colspan=1>22.354.293</td></tr></table>,2620,8029038dff3e9b0b35e5030977363bc1b7752b587c55072c1c08a46021543a4c.jpg,"[66, 208, 531, 337]"
gtm10,GTM10.pdf,preproc_blocks,4,5,3,table,0.9877,,"<table><tr><td rowspan=1 colspan=1>Espessuradablindagem(shunt)[mm]</td><td rowspan=1 colspan=1>Comprimentoda blindagem(shunt)[mm]</td><td rowspan=1 colspan=1>Perdasinduzidasno tanque[W]</td><td rowspan=1 colspan=1>Induçãomáximanablindagem[T]</td><td rowspan=1 colspan=1>Elevação detemperaturaestimada nocentro do tanque[C]</td><td rowspan=1 colspan=1>Elevação de temperaturaestimada do tanquepróximo à extremidade dablindagem[°c]</td></tr><tr><td rowspan=1 colspan=1>17</td><td rowspan=1 colspan=1>2800</td><td rowspan=1 colspan=1>23319</td><td rowspan=1 colspan=1>2,03</td><td rowspan=1 colspan=1>21</td><td rowspan=1 colspan=1>35,8</td></tr><tr><td rowspan=1 colspan=1>26</td><td rowspan=1 colspan=1>2800</td><td rowspan=1 colspan=1>20142</td><td rowspan=1 colspan=1>1,52</td><td rowspan=1 colspan=1>1,1</td><td rowspan=1 colspan=1>43,5</td></tr><tr><td rowspan=1 colspan=1>26</td><td rowspan=1 colspan=1>3300</td><td rowspan=1 colspan=1>5697</td><td rowspan=1 colspan=1>1,55</td><td rowspan=1 colspan=1>0,2</td><td rowspan=1 colspan=1>9,3</td></tr></table>",1059,bf6e4339b23fd8c00f5efe999d56e739b618ef5bc99cb55c643b7bc03f7f9f7b.jpg,"[66, 104, 531, 238]"
gtm10,GTM10.pdf,para_blocks,4,5,3,table,0.9877,,"<table><tr><td rowspan=1 colspan=1>Espessuradablindagem(shunt)[mm]</td><td rowspan=1 colspan=1>Comprimentoda blindagem(shunt)[mm]</td><td rowspan=1 colspan=1>Perdasinduzidasno tanque[W]</td><td rowspan=1 colspan=1>Induçãomáximanablindagem[T]</td><td rowspan=1 colspan=1>Elevação detemperaturaestimada nocentro do tanque[C]</td><td rowspan=1 colspan=1>Elevação de temperaturaestimada do tanquepróximo à extremidade dablindagem[°c]</td></tr><tr><td rowspan=1 colspan=1>17</td><td rowspan=1 colspan=1>2800</td><td rowspan=1 colspan=1>23319</td><td rowspan=1 colspan=1>2,03</td><td rowspan=1 colspan=1>21</td><td rowspan=1 colspan=1>35,8</td></tr><tr><td rowspan=1 colspan=1>26</td><td rowspan=1 colspan=1>2800</td><td rowspan=1 colspan=1>20142</td><td rowspan=1 colspan=1>1,52</td><td rowspan=1 colspan=1>1,1</td><td rowspan=1 colspan=1>43,5</td></tr><tr><td rowspan=1 colspan=1>26</td><td rowspan=1 colspan=1>3300</td><td rowspan=1 colspan=1>5697</td><td rowspan=1 colspan=1>1,55</td><td rowspan=1 colspan=1>0,2</td><td rowspan=1 colspan=1>9,3</td></tr></table>",1059,bf6e4339b23fd8c00f5efe999d56e739b618ef5bc99cb55c643b7bc03f7f9f7b.jpg,"[66, 104, 531, 238]"
