filename,page_number,block_index,block_type,score,line_count,span_count,text,x0,y0,x1,y1
GTM10.pdf,1,2,header,0.8977,3,3,XXIV SNPTEE SEMINÁRIO NACIONAL DE RODUÇÃO TRANSMISSÃO DE ENERGIA ELÉTRICA,224.0,108.0,410.0,148.0
GTM10.pdf,1,3,header,0.8814,1,1,CB/GTM/10,487.0,109.0,537.0,120.0
GTM10.pdf,1,4,header,0.4931,1,1,22 a 25 de outubro de 2017,225.0,168.0,344.0,180.0
GTM10.pdf,1,25,footer,0.9384,2,2,"Rua Dr. Pedro Zimmermann, n˚ 6751 – CEP 89068-001 Blumenau, SC – Brasil Tel: (+55 47) 3337-1000 – Fax: (+55 47) 3337-1090 – email: luizo@weg.net",143.0,766.0,462.0,794.0
GTM10.pdf,2,1,page_number,0.867,1,1,2,303.0,41.0,312.0,51.0
GTM10.pdf,3,1,page_number,0.8608,1,1,3,303.0,41.0,311.0,51.0
GTM10.pdf,4,1,page_number,0.8483,1,1,4,304.0,41.0,311.0,51.0
GTM10.pdf,5,1,page_number,0.8699,1,1,5,304.0,41.0,311.0,51.0
GTM10.pdf,6,1,page_number,0.8728,1,1,6,304.0,41.0,311.0,51.0
GTM10.pdf,7,1,page_number,0.8486,1,1,7,304.0,41.0,311.0,51.0
GTM10.pdf,8,1,page_number,0.862,1,1,8,304.0,41.0,311.0,51.0
GTM10.pdf,9,1,page_number,0.8619,1,1,9,304.0,41.0,311.0,51.0
